available_seats,wl_used,class_type_CC,class_type_2A,class_type_3A,class_type_Sleeper,quota_GN,quota_Ladies,quota_PT,quota_TATKAL,current_status_CNF,current_status_RAC,current_status_WL,train_category_EXPRESS,train_category_RAJDHANI,train_category_SHATABDI,train_category_PASSENGER,label
1.178995906,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1.643507463,2.394445027,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
0.312369867,-0.576527139,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.061134765,-0.576527139,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
-0.595854222,2.29020039,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0.714484349,0.726530829,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
-0.97023667,-0.576527139,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0.984871673,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.028116526,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.222240759,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0.887809557,0.413796916,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
1.685105513,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
-1.54567636,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
-1.330753103,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
-0.997968704,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
-1.150494887,1.612610247,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1.019536715,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1.456316238,0.222681748,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0.603556216,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
-0.249203806,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
-0.283868848,0.987142422,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
1.019536715,-0.576527139,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1.08193379,-0.576527139,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.104379618,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-1.407016194,2.342322709,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0.347034909,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1.671239496,-0.576527139,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
-0.332399906,1.560487928,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
-1.303021069,1.351998653,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
-0.138275673,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
-0.006548515,-0.576527139,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
1.456316238,2.655056621,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1.199794931,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0.769948416,0.483293341,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
-0.034280548,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
-1.511011319,-0.576527139,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
1.712837546,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
-1.573408394,-0.576527139,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-1.621939452,-0.576527139,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
-0.256136814,1.560487928,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.145208681,0.431171023,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1
-1.316887086,0.083688898,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
0.249972792,2.533437877,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1.636574454,-0.350663758,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1.393919164,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.311600881,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
-0.422529014,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
0.284637834,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0.555025158,0.761279041,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
0.936340615,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.090513601,0.900271891,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
-1.303021069,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
-0.304667873,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
0.29850385,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.595854222,1.386746866,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
-0.179873723,-0.576527139,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
-1.254490011,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
-1.705135551,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1.310723064,0.81340136,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
0.901675574,-0.576527139,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0.555025158,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
0.145977668,-0.576527139,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0.409431983,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-1.26142302,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
-0.263069823,-0.576527139,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
1.692038521,1.126135272,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
-0.692916338,1.178257591,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
-0.055079573,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1.442450222,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
-0.145208681,-0.576527139,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
1.712837546,2.724553046,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1.463249247,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0.846211507,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0.069714576,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
-1.656604493,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
-0.484926089,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
-0.692916338,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-0.422529014,-0.576527139,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
-0.699849346,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.853144515,-0.576527139,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
1.629641446,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
-1.54567636,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-0.082811607,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
-1.54567636,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
0.395565967,0.53541566,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
-0.145208681,-0.576527139,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1.588043396,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1.470182255,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
-0.997968704,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0.243039784,0.604912085,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
-0.914772604,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0.686752316,1.647358459,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0.790747441,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
-0.810777479,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
-1.081164803,-0.159548589,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
-0.318533889,0.900271891,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
-0.214538765,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-1.01183472,1.404120972,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
-1.54567636,2.516063771,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
1.567244371,2.446567346,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.908608582,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
-0.11054364,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
-0.991035695,1.595236141,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
-0.048146565,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
-0.672117313,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
-0.131342665,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
0.700618333,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
-1.185159928,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1.733636571,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0.977938665,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0.624355241,-0.576527139,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
-1.608073435,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
0.561958166,1.508365609,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
-0.422529014,2.307574496,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
-0.852375529,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1.588043396,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
-0.928638621,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1.08193379,-0.576527139,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
-0.595854222,0.917645997,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1.560311363,0.413796916,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1.123531839,-0.576527139,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
-0.575055197,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1.726703563,-0.576527139,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
-0.817710488,1.508365609,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1.269125014,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0.853144515,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1.40778518,1.647358459,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
-1.552609369,2.272826284,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0.5896902,0.743904935,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0.950206632,1.004516528,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1.331522089,-0.576527139,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
-1.719001568,-0.281167333,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
-0.297734864,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
-1.656604493,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
-0.422529014,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
-1.21982497,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-1.17822692,0.361674598,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
0.46489605,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
-0.082811607,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
-0.020414532,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
-1.164360903,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
-0.51959113,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
1.185928914,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
-0.422529014,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
0.749149391,0.622286191,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0.166776693,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
-1.150494887,-0.072678058,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
-0.082811607,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1.026469723,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
-0.055079573,1.890595947,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
-1.122762853,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-0.075878598,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0.360900925,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
-1.344619119,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-0.443328039,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0.097446609,-0.576527139,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
-0.450261047,-0.176922696,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
0.561958166,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0.887809557,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1.61577543,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
1.567244371,0.465919235,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1.463249247,1.265128122,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
0.215307751,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0.971005657,-0.576527139,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
-1.642738477,-0.576527139,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
-1.573408394,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
-0.755313413,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
-0.270002831,1.126135272,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0.95713964,1.786351309,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0.950206632,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
0.5064941,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1.435517213,2.672430727,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
-0.283868848,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0.929407607,1.213005803,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
-1.677403518,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0.735283374,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
-0.97023667,2.046962903,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0.811546465,-0.576527139,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
-0.734514388,-0.576527139,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
-1.462480261,-0.576527139,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
-0.491859097,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
-0.637452272,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
-1.101963828,0.882897785,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
0.29850385,0.135811217,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0.950206632,-0.576527139,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0.069714576,-0.281167333,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
-0.034280548,1.768977203,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
-1.62887246,-0.52440482,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
1.629641446,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
-0.533457147,-0.576527139,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
-1.531810344,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
0.679819308,0.778653147,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
-1.323820094,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1.393919164,-0.576527139,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
-0.207605756,1.890595947,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
-1.150494887,1.438869184,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1.158196881,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
-0.048146565,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
1.165129889,0.743904935,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
0.749149391,2.42919324,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1.511780305,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0.783814432,1.438869184,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
-1.684336527,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
-0.713715363,1.299876335,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
0.610489224,1.803725415,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0.922474598,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
-1.62887246,-0.576527139,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1.206727939,0.448545129,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
0.561958166,0.483293341,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0.908608582,1.508365609,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
-0.380930964,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.652087274,1.056638847,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
-1.372351153,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1.400852172,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
-0.838509513,-0.333289652,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
-1.462480261,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
-1.351552128,0.639660298,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1.643507463,2.029588796,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
-0.741447396,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
-1.074231795,-0.576527139,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0.860077524,-0.576527139,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.007317501,2.272826284,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
-1.490212294,2.185955753,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
-0.616653247,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1.657373479,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
-1.316887086,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.839278499,-0.576527139,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
-0.852375529,0.483293341,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
-0.471060072,1.23037991,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
-0.214538765,1.334624547,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0.99873769,-0.576527139,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
0.270771817,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
-0.991035695,1.126135272,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
